Beer PLU,Beer Name,Date Purchased,Store Name,Abv,Style,Color,Format
11774,HOLY MACKERAL BELG GOLD,10/21/2009 0:00,Crabapple,8.5,Belgian Pale,medium,draft
9135,Hornsby Draft Cider,12/29/2008 0:00,Crabapple,6,Cider,light,bottle
9138,Icehouse,12/17/2008 0:00,Crabapple,5.5,Lager,light,bottle
9140,Imperial,12/8/2007 0:00,Crabapple,4,Lager,light,bottle
61936,INNIS & GUNN SCOTTISH PA,4/30/2013 0:00,Mall of Georgia,7,Pale Ale,medium,draft
62230,JAILHOUSE 4D IPA VOL. 12,10/3/2013 0:00,Mall of Georgia,6,IPA,medium,draft
60186,JAILHOUSE BREAKOUT STOU,12/29/2010 0:00,Crabapple,7.8,Stout,dark,draft
60185,JAILHOUSE MUGSHOT IPA,8/6/2013 0:00,Mall of Georgia,6.7,IPA,medium,draft
62441,JAILHOUSE RESTRAING ORD,2/13/2014 0:00,Crabapple,6.5,Porter,dark,draft
62356,JEKYLL 'MERICN AMBR ALE,1/2/2014 0:00,Mall of Georgia,5.8,Amber/Red Ale,medium,draft
62211,JEKYLL BIG CREEK KOLSCH,11/14/2013 0:00,Crabapple,5,Kolsch,light,draft
64700,JEKYLL CATTYWOMPUS,4/11/2016 0:00,Windward,6.3,Brown Ale,dark,draft
62292,JEKYLL COOTER BROWN,2/1/2014 0:00,Johns Creek,6,Brown Ale,dark,draft
62588,JEKYLL HOOTN & HOLRN DI,3/28/2014 0:00,Mall of Georgia,8,Double IPA,medium,draft
62212,JEKYLL HOP DANG DIGGITY,2/20/2014 0:00,Windward,6.7,IPA,medium,draft
64699,JEKYLL KINSHIP,10/27/2016 0:00,Crabapple,6.3,Belgian Golden Ale,light,draft
64050,JEKYLL PINEAPPLE HABANE,4/11/2016 0:00,Windward,6.7,IPA,medium,draft
65466,JEKYLL SOUTHERN JUICE,12/24/2016 0:00,Crabapple,7,IPA,medium,draft
9147,Killians Red,11/21/2007 0:00,Crabapple,4.9,Amber Lagers,medium,bottle
62122,KONA BIG WAVE GOLDEN A,7/16/2013 0:00,Mall of Georgia,5.3,Blonde Ale,light,draft
11637,KONA FIREROCK PALE,9/12/2013 0:00,Mall of Georgia,5.8,Pale Ale,medium,draft
10265,Kona Firerock Pale Ale,5/24/2011 0:00,Crabapple,5.8,Pale Ale,medium,bottle
60991,KONA KOKO BROWN ALE,2/22/2012 0:00,Mall of Georgia,5.5,Brown Ale,dark,draft
11635,KONA LONGBOARD LAGER,9/4/2008 0:00,Crabapple,5.6,Lager,light,draft
60851,KROMBACHER PILSNER,7/16/2012 0:00,Crabapple,4.8,Pilsner,light,draft
11432,LAGUNITAS BROWN SHUGGA',12/27/2010 0:00,Crabapple,9.9,Brown Ale,dark,draft
11396,LAGUNITAS CENSORED,2/2/2008 0:00,Crabapple,5.9,Pale Ale,medium,draft
10004,Lagunitas Censored,4/18/2013 0:00,Mall of Georgia,5.9,Pale Ale,medium,bottle
20601,Lagunitas Day Time IPA,2/8/2014 0:00,Mall of Georgia,4.6,IPA,medium,can
10619,Lagunitas Dogtown Pale,5/31/2011 0:00,Crabapple,6.4,Pale Ale,medium,bottle
11433,LAGUNITAS IPA,12/5/2008 0:00,Crabapple,5.7,IPA,medium,draft
10005,Lagunitas IPA,7/23/2013 0:00,Mall of Georgia,5.7,IPA,medium,bottle
60195,LAGUNITAS LIL SUMPIN WILD,9/12/2013 0:00,Mall of Georgia,8.8,Belgian Pale,medium,draft
10440,Lagunitas Lil Sumpin',4/1/2013 0:00,Mall of Georgia,7.3,IPA,medium,bottle
11643,LAGUNITAS LUCKY #13,7/30/2013 0:00,Mall of Georgia,8.3,Strong Ale,medium,draft
10148,Lagunitas Maximus,7/2/2009 0:00,Crabapple,7.5,IPA,medium,bottle
61359,LAGUNITAS NEW DGTWN PA,6/11/2013 0:00,Mall of Georgia,6.2,Pale Ale,medium,draft
20366,Lagunitas Sucks,2/1/2014 0:00,Johns Creek,7.9,IPA,medium,bottle
11931,LAGUNITAS UNDER SHUTDOW,4/18/2013 0:00,Mall of Georgia,9.2,Strong Ale,medium,draft
10421,Lagunitas Undercover Shut,5/13/2009 0:00,Crabapple,9.2,Strong Ale,medium,bottle
12440,LAGUNITAS WILCO TANGO F,3/27/2010 0:00,Crabapple,7.8,Strong Ale,medium,draft
11812,LANDSHARK LAGER,3/7/2009 0:00,Crabapple,4.7,Lager,light,draft
12347,LAZY MAG STH PECAN BROW,7/9/2013 0:00,Mall of Georgia,5,Brown Ale,dark,draft
61287,LAZY MAGNOLIA SO HOPS'P,5/1/2014 0:00,Crabapple,6.9,IPA,medium,draft
11459,LEFFE BLONDE,10/29/2009 0:00,Crabapple,6.6,Blonde Ale,light,draft
10628,Left Hand 400 Lb. Monkey,3/31/2013 0:00,Mall of Georgia,7.1,IPA,medium,bottle
11675,LEFT HAND 400 LB. MONKY,6/2/2011 0:00,Crabapple,7.1,IPA,medium,draft
12372,LEFT HAND GOOD JU JU,5/2/2013 0:00,Crabapple,4.5,Fruit/Herbed/Spice Beer,medium,draft
11384,LEFT HAND MILK STOUT,12/20/2007 0:00,Crabapple,6,Stout,dark,draft
12481,LEFT HAND NITRO SAWTTH,12/30/2010 0:00,Crabapple,5.3,ESB,medium,draft
11513,LEFT HAND OKTOBERFEST,11/2/2009 0:00,Crabapple,6,Oktoberfest/Marzen,medium,draft
11816,LEFT HAND SMOKE JUMPER,6/11/2009 0:00,Crabapple,9.2,Porter,dark,draft
20098,Left Hand Stranger,5/30/2011 0:00,Crabapple,5,Pale Ale,medium,bottle
11815,LEFT HAND TWIN SISTERS,6/14/2013 0:00,Mall of Georgia,9.6,Double IPA,medium,draft
11871,LEINENKUGEL AMBER ALE,7/15/2009 0:00,Crabapple,4.9,Amber/Red Ale,medium,draft
60298,LEINENKUGEL BIG EDDY RIS,12/23/2010 0:00,Crabapple,9.5,Imperial Stout,dark,draft
11395,LEINENKUGEL SUNSET WHEA,11/21/2007 0:00,Crabapple,4.9,Flavored Wheat,light,draft
69036,LINE CREEK JAY BIRD,11/3/2019 0:00,Mall of Georgia,4,Berliner Weiss,light,draft
62724,LONE RIDER ADDIES RVNG,6/26/2014 0:00,Crabapple,6.6,IPA,medium,draft
60480,LONE RIDER PEACEMAKER,5/28/2013 0:00,Mall of Georgia,5.7,Pale Ale,medium,draft
62338,LONE RIDER RED SPUR,3/27/2014 0:00,Crabapple,7.3,Amber/Red Ale,medium,draft
60479,LONE RIDER SWT JOSIE BR,10/4/2013 0:00,Mall of Georgia,6.1,Brown Ale,dark,draft
9170,Lone Star,11/21/2007 0:00,Crabapple,4.7,Lager,light,bottle
10778,Mad River Double Dread,6/6/2013 0:00,Mall of Georgia,8.6,Strong Ale,medium,bottle
10819,Mad River Jamaica Red,4/11/2013 0:00,Crabapple,6.6,Amber/Red Ale,medium,bottle
63776,MAGIC HAT ELECTRIC PEEL,7/11/2015 0:00,Crabapple,6.2,IPA,medium,draft
11878,MAGIC HAT WACKO,6/5/2009 0:00,Crabapple,5.4,Flavored and Malt Beverages,medium,draft
11079,MICHELOB LIGHT,11/22/2007 0:00,Crabapple,4.3,Lager,light,draft
11253,MICHELOB ULTRA,12/19/2010 0:00,Crabapple,4.2,Lager,light,draft
9753,Michelob Ultra,7/23/2014 0:00,Crabapple,4.2,Lager,light,bottle
9953,Michelob Ultra Amber,12/17/2008 0:00,Crabapple,5,Amber Lagers,medium,bottle
9188,Mickey's,9/23/2013 0:00,Mall of Georgia,5.6,Lager,light,bottle
11059,MILLER HIGH LIFE,10/29/2009 0:00,Crabapple,4.6,Lager,light,draft
11157,MILLER LITE,12/28/2008 0:00,Crabapple,4.2,Lager,light,draft
